date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:47	28973/28973	---M--	200	added ('OK')	image/jpeg	etag:%22712d-5f0ad5cae903c%22	https://www.haradacorp.co.jp/100th/img/index/ps03.jpg	D:/Owner-Data/Desktop/yoshimi_HP_sample/yosimi_sample/www.haradacorp.co.jp/100th/img/index/ps03.jpg	(from https://www.haradacorp.co.jp/100th/)
18:47:47	55226/55226	---M--	200	added ('OK')	image/jpeg	etag:%22d7ba-5f0ad5cd39cc8%22	https://www.haradacorp.co.jp/100th/img/index/ps04.jpg	D:/Owner-Data/Desktop/yoshimi_HP_sample/yosimi_sample/www.haradacorp.co.jp/100th/img/index/ps04.jpg	(from https://www.haradacorp.co.jp/100th/)
18:47:47	26252/26252	---M--	200	added ('OK')	image/jpeg	etag:%22668c-5f0ad5cf85b34%22	https://www.haradacorp.co.jp/100th/img/index/ps05.jpg	D:/Owner-Data/Desktop/yoshimi_HP_sample/yosimi_sample/www.haradacorp.co.jp/100th/img/index/ps05.jpg	(from https://www.haradacorp.co.jp/100th/)
18:47:47	102113/102113	---M--	200	added ('OK')	image/jpeg	etag:%2218ee1-5f0ad5d3dd0c7%22	https://www.haradacorp.co.jp/100th/img/index/ps06.jpg	D:/Owner-Data/Desktop/yoshimi_HP_sample/yosimi_sample/www.haradacorp.co.jp/100th/img/index/ps06.jpg	(from https://www.haradacorp.co.jp/100th/)
18:47:47	22770/22770	---M--	200	added ('OK')	image/jpeg	etag:%2258f2-5f0ad5d0480a3%22	https://www.haradacorp.co.jp/100th/img/index/ps07.jpg	D:/Owner-Data/Desktop/yoshimi_HP_sample/yosimi_sample/www.haradacorp.co.jp/100th/img/index/ps07.jpg	(from https://www.haradacorp.co.jp/100th/)
18:47:48	44479/44479	---M--	200	added ('OK')	image/jpeg	etag:%22adbf-5f0ad5dbb6d9d%22	https://www.haradacorp.co.jp/100th/img/index/ps08.jpg	D:/Owner-Data/Desktop/yoshimi_HP_sample/yosimi_sample/www.haradacorp.co.jp/100th/img/index/ps08.jpg	(from https://www.haradacorp.co.jp/100th/)
18:47:48	50539/50539	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c56b-vSZ8+Bfoe0lx3bzJgC3XRvvQrDQ%22	https://cdn.jsdelivr.net/npm/lodash@3.10.1/index.min.js	D:/Owner-Data/Desktop/yoshimi_HP_sample/yosimi_sample/cdn.jsdelivr.net/npm/lodash@3.10.1/index.min.js	(from https://www.haradacorp.co.jp/100th/)
18:47:48	89503/89503	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215d9f-5f0ad5a04f8ae%22	https://www.haradacorp.co.jp/100th/js/jquery-3.6.0.min.js	D:/Owner-Data/Desktop/yoshimi_HP_sample/yosimi_sample/www.haradacorp.co.jp/100th/js/jquery-3.6.0.min.js	(from https://www.haradacorp.co.jp/100th/)
18:47:48	3720/3720	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e88-5f0ad5a19c8e7%22	https://www.haradacorp.co.jp/100th/js/jquery.easing.min.js	D:/Owner-Data/Desktop/yoshimi_HP_sample/yosimi_sample/www.haradacorp.co.jp/100th/js/jquery.easing.min.js	(from https://www.haradacorp.co.jp/100th/)
18:47:49	89981/89981	---MCZ	200	added ('OK')	application/javascript	etag:W/%2215f7d-5f0ad5bad99c9%22	https://www.haradacorp.co.jp/100th/js/slick/slick.js	D:/Owner-Data/Desktop/yoshimi_HP_sample/yosimi_sample/www.haradacorp.co.jp/100th/js/slick/slick.js	(from https://www.haradacorp.co.jp/100th/)
